Layer Name                                                  	Shape               	Device    	Real Precision
_orig_mod.language_model.model.layers.20.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.20.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.20.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.q_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.self_attn.q_proj.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.k_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.self_attn.k_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.v_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.self_attn.v_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.o_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.self_attn.q_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.k_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.21.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.21.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.q_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.self_attn.q_proj.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.k_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.self_attn.k_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.v_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.self_attn.v_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.o_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.self_attn.q_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.k_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.22.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.22.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.q_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.self_attn.q_proj.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.k_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.self_attn.k_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.v_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.self_attn.v_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.o_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.self_attn.q_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.k_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.23.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.23.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.q_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.self_attn.q_proj.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.k_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.self_attn.k_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.v_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.self_attn.v_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.o_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.self_attn.q_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.k_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.24.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.24.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.q_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.self_attn.q_proj.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.k_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.self_attn.k_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.v_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.self_attn.v_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.o_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.self_attn.q_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.k_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.25.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.25.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.q_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.self_attn.q_proj.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.k_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.self_attn.k_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.v_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.self_attn.v_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.o_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.self_attn.q_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.k_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.26.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.26.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.q_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.self_attn.q_proj.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.k_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.self_attn.k_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.v_proj.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.self_attn.v_proj.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.o_proj.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.self_attn.q_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.k_norm.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.q_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.k_norm_moe_gen.weight	[128]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.self_attn.k_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.self_attn.v_proj_moe_gen.bias	[512]               	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.mlp.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.mlp.up_proj.weight 	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.mlp.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:1    	F8_E4M3
_orig_mod.language_model.model.layers.27.input_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.input_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.post_attention_layernorm.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.layers.27.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.norm.weight                  	[3584]              	cuda:1    	BF16
_orig_mod.language_model.model.norm_moe_gen.weight          	[3584]              	cuda:1    	BF16
_orig_mod.language_model.lm_head.weight                     	[152064, 3584]      	cuda:1    	F8_E4M3
_orig_mod.time_embedder.mlp.0.weight                        	[3584, 256]         	cuda:0    	F8_E4M3
_orig_mod.time_embedder.mlp.0.bias                          	[3584]              	cuda:0    	BF16
_orig_mod.time_embedder.mlp.2.weight                        	[3584, 3584]        	cuda:0    	F8_E4M3
_orig_mod.time_embedder.mlp.2.bias                          	[3584]              	cuda:0    	BF16
_orig_mod.vae2llm.weight                                    	[3584, 64]          	cuda:0    	F8_E4M3
_orig_mod.vae2llm.bias                                      	[3584]              	cuda:0    	BF16
_orig_mod.llm2vae.weight                                    	[64, 3584]          	cuda:0    	F8_E4M3
_orig_mod.llm2vae.bias                                      	[64]                	cuda:0    	BF16
_orig_mod.latent_pos_embed.pos_embed                        	[4096, 3584]        	cuda:0    	BF16
_orig_mod.vit_model.vision_model.embeddings.position_embedding.weight	[4900, 1152]        	cuda:1    	BF16
_orig_mod.vit_model.vision_model.embeddings.patch_embedding.weight	[1152, 588]         	cuda:1    	BF16
_orig_mod.vit_model.vision_model.embeddings.patch_embedding.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.k_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.k_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.v_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.v_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.q_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.q_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.out_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.0.self_attn.out_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.layer_norm1.weight	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.layer_norm1.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.mlp.fc1.weight	[4304, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.0.mlp.fc1.bias	[4304]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.mlp.fc2.weight	[1152, 4304]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.0.mlp.fc2.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.layer_norm2.weight	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.0.layer_norm2.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.k_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.k_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.v_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.v_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.q_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.q_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.out_proj.weight	[1152, 1152]        	cuda:1    	F8_E4M3
_orig_mod.vit_model.vision_model.encoder.layers.1.self_attn.out_proj.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.1.layer_norm1.weight	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.1.layer_norm1.bias	[1152]              	cuda:1    	BF16
_orig_mod.vit_model.vision_model.encoder.layers.1.mlp.fc1.weight	[4304, 1152]        	cuda:1    	F8_E4M3
